Ano,Mes,Dia,Visitantes,COVID
2018,12,14,145,0
2018,12,15,144,0
2018,12,16,2,0
2018,12,17,131,0
2018,12,18,355,0
2018,12,19,1853,0
2018,12,20,1267,0
2018,12,21,1264,0
2018,12,22,2215,0
2018,12,23,1760,0
2018,12,24,982,0
2018,12,26,1792,0
2018,12,27,1724,0
2018,12,28,1912,0
2018,12,29,2088,0
2018,12,30,1724,0
2018,12,31,1182,0
2019,1,2,1533,0
2019,1,3,1490,0
2019,1,4,1244,0
2019,1,5,1518,0
2019,1,6,813,0
2019,1,7,809,0
2019,1,8,679,0
2019,1,9,693,0
2019,1,10,694,0
2019,1,11,829,0
2019,1,12,1100,0
2019,1,13,940,0
2019,1,14,740,0
2019,1,15,563,0
2019,1,16,585,0
2019,1,17,651,0
2019,1,18,588,0
2019,1,19,572,0
2019,1,20,710,0
2019,1,21,734,0
2019,1,22,589,0
2019,1,23,507,0
2019,1,24,605,0
2019,1,25,734,0
2019,1,26,1240,0
2019,1,27,802,0
2019,1,28,713,0
2019,1,29,512,0
2019,1,30,433,0
2019,1,31,516,0
2019,2,1,685,0
2019,2,2,1033,0
2019,2,3,746,0
2019,2,4,721,0
2019,2,5,559,0
2019,2,6,610,0
2019,2,7,729,0
2019,2,8,836,0
2019,2,9,1295,0
2019,2,10,708,0
2019,2,11,754,0
2019,2,12,736,0
2019,2,13,725,0
2019,2,14,782,0
2019,2,15,963,0
2019,2,16,1386,0
2019,2,17,957,0
2019,2,18,820,0
2019,2,19,965,0
2019,2,20,986,0
2019,2,21,884,0
2019,2,22,1072,0
2019,2,23,1306,0
2019,2,24,996,0
2019,2,25,846,0
2019,2,26,831,0
2019,2,27,895,0
2019,2,28,900,0
2019,3,1,1157,0
2019,3,2,1647,0
2019,3,3,1177,0
2019,3,4,1524,0
2019,3,5,966,0
2019,3,6,840,0
2019,3,7,675,0
2019,3,8,1142,0
2019,3,9,1483,0
2019,3,10,1038,0
2019,3,11,776,0
2019,3,12,645,0
2019,3,13,737,0
2019,3,14,686,0
2019,3,15,787,0
2019,3,16,1151,0
2019,3,17,786,0
2019,3,18,758,0
2019,3,19,618,0
2019,3,20,546,0
2019,3,21,792,0
2019,3,22,723,0
2019,3,23,1171,0
2019,3,24,716,0
2019,3,25,677,0
2019,3,26,602,0
2019,3,27,592,0
2019,3,28,771,0
2019,3,29,927,0
2019,3,30,1050,0
2019,3,31,900,0
2019,4,1,810,0
2019,4,2,766,0
2019,4,3,819,0
2019,4,4,721,0
2019,4,5,875,0
2019,4,6,1196,0
2019,4,7,734,0
2019,4,8,1152,0
2019,4,9,1188,0
2019,4,10,1168,0
2019,4,11,1169,0
2019,4,12,1201,0
2019,4,13,1630,0
2019,4,14,1112,0
2019,4,15,1632,0
2019,4,16,1592,0
2019,4,17,1487,0
2019,4,18,1780,0
2019,4,19,1908,0
2019,4,20,1993,0
2019,4,21,1323,0
2019,4,22,1533,0
2019,4,23,1549,0
2019,4,24,999,0
2019,4,25,1527,0
2019,4,26,1397,0
2019,4,27,1286,0
2019,4,28,849,0
2019,4,29,1089,0
2019,4,30,1086,0
2019,5,1,1536,0
2019,5,2,1082,0
2019,5,3,1141,0
2019,5,4,1370,0
2019,5,5,1030,0
2019,5,6,927,0
2019,5,7,814,0
2019,5,8,646,0
2019,5,9,842,0
2019,5,10,908,0
2019,5,11,1093,0
2019,5,12,633,0
2019,5,13,629,0
2019,5,14,711,0
2019,5,15,636,0
2019,5,16,800,0
2019,5,17,911,0
2019,5,18,1136,0
2019,5,19,1143,0
2019,5,20,991,0
2019,5,21,773,0
