Ano,Mes,Dia,Visitantes,COVID,Total Turistas,Season,Event
2018,12,14,145,0,15657.58064516129,Autumn,1
2018,12,15,144,0,15657.58064516129,Autumn,1
2018,12,17,131,0,15657.58064516129,Autumn,1
2018,12,18,355,0,15657.58064516129,Autumn,1
2018,12,20,1267,0,15657.58064516129,Autumn,1
2018,12,21,1264,0,15657.58064516129,Winter,1
2018,12,24,982,0,15657.58064516129,Winter,1
2018,12,27,1724,0,15657.58064516129,Winter,1
2018,12,30,1724,0,15657.58064516129,Winter,1
2018,12,31,1182,0,15657.58064516129,Winter,1
2019,1,2,1533,0,14818.709677419354,Winter,1
2019,1,3,1490,0,14818.709677419354,Winter,1
2019,1,4,1244,0,14818.709677419354,Winter,1
2019,1,5,1518,0,14818.709677419354,Winter,1
2019,1,6,813,0,14818.709677419354,Winter,1
2019,1,7,809,0,14818.709677419354,Winter,1
2019,1,8,679,0,14818.709677419354,Winter,1
2019,1,9,693,0,14818.709677419354,Winter,1
2019,1,10,694,0,14818.709677419354,Winter,1
2019,1,11,829,0,14818.709677419354,Winter,1
2019,1,12,1100,0,14818.709677419354,Winter,1
2019,1,13,940,0,14818.709677419354,Winter,1
2019,1,14,740,0,14818.709677419354,Winter,1
2019,1,15,563,0,14818.709677419354,Winter,1
2019,1,16,585,0,14818.709677419354,Winter,1
2019,1,17,651,0,14818.709677419354,Winter,1
2019,1,18,588,0,14818.709677419354,Winter,1
2019,1,19,572,0,14818.709677419354,Winter,1
2019,1,20,710,0,14818.709677419354,Winter,1
2019,1,21,734,0,14818.709677419354,Winter,1
2019,1,22,589,0,14818.709677419354,Winter,1
2019,1,23,507,0,14818.709677419354,Winter,1
2019,1,24,605,0,14818.709677419354,Winter,1
2019,1,25,734,0,14818.709677419354,Winter,1
2019,1,26,1240,0,14818.709677419354,Winter,1
2019,1,27,802,0,14818.709677419354,Winter,1
2019,1,28,713,0,14818.709677419354,Winter,1
2019,1,29,512,0,14818.709677419354,Winter,1
2019,1,30,433,0,14818.709677419354,Winter,1
2019,1,31,516,0,14818.709677419354,Winter,1
2019,2,1,685,0,16796.41379310345,Winter,0
2019,2,2,1033,0,16796.41379310345,Winter,0
2019,2,3,746,0,16796.41379310345,Winter,0
2019,2,4,721,0,16796.41379310345,Winter,0
2019,2,5,559,0,16796.41379310345,Winter,0
2019,2,6,610,0,16796.41379310345,Winter,0
2019,2,7,729,0,16796.41379310345,Winter,0
2019,2,8,836,0,16796.41379310345,Winter,0
2019,2,9,1295,0,16796.41379310345,Winter,0
2019,2,10,708,0,16796.41379310345,Winter,0
2019,2,11,754,0,16796.41379310345,Winter,0
2019,2,12,736,0,16796.41379310345,Winter,0
2019,2,13,725,0,16796.41379310345,Winter,0
2019,2,14,782,0,16796.41379310345,Winter,0
2019,2,15,963,0,16796.41379310345,Winter,0
2019,2,16,1386,0,16796.41379310345,Winter,0
2019,2,17,957,0,16796.41379310345,Winter,0
2019,2,18,820,0,16796.41379310345,Winter,0
2019,2,19,965,0,16796.41379310345,Winter,0
2019,2,20,986,0,16796.41379310345,Winter,0
2019,2,21,884,0,16796.41379310345,Winter,0
2019,2,22,1072,0,16796.41379310345,Winter,0
2019,2,23,1306,0,16796.41379310345,Winter,0
2019,2,24,996,0,16796.41379310345,Winter,0
2019,2,25,846,0,16796.41379310345,Winter,0
2019,2,26,831,0,16796.41379310345,Winter,0
2019,2,27,895,0,16796.41379310345,Winter,0
2019,2,28,900,0,16796.41379310345,Winter,0
2019,3,1,1157,0,20525.322580645163,Winter,0
2019,3,2,1647,0,20525.322580645163,Winter,0
2019,3,3,1177,0,20525.322580645163,Winter,0
2019,3,4,1524,0,20525.322580645163,Winter,0
2019,3,5,966,0,20525.322580645163,Winter,0
2019,3,6,840,0,20525.322580645163,Winter,0
2019,3,7,675,0,20525.322580645163,Winter,0
2019,3,8,1142,0,20525.322580645163,Winter,0
2019,3,9,1483,0,20525.322580645163,Winter,0
2019,3,10,1038,0,20525.322580645163,Winter,0
2019,3,11,776,0,20525.322580645163,Winter,0
2019,3,12,645,0,20525.322580645163,Winter,0
2019,3,13,737,0,20525.322580645163,Winter,0
2019,3,14,686,0,20525.322580645163,Winter,0
2019,3,15,787,0,20525.322580645163,Winter,0
2019,3,16,1151,0,20525.322580645163,Winter,0
2019,3,17,786,0,20525.322580645163,Winter,0
2019,3,18,758,0,20525.322580645163,Winter,0
2019,3,19,618,0,20525.322580645163,Winter,0
2019,3,20,546,0,20525.322580645163,Spring,0
2019,3,21,792,0,20525.322580645163,Spring,0
2019,3,22,723,0,20525.322580645163,Spring,0
2019,3,23,1171,0,20525.322580645163,Spring,0
2019,3,24,716,0,20525.322580645163,Spring,0
2019,3,25,677,0,20525.322580645163,Spring,0
2019,3,26,602,0,20525.322580645163,Spring,0
2019,3,27,592,0,20525.322580645163,Spring,0
2019,3,28,771,0,20525.322580645163,Spring,0
2019,3,29,927,0,20525.322580645163,Spring,0
2019,3,30,1050,0,20525.322580645163,Spring,0
2019,3,31,900,0,20525.322580645163,Spring,0
2019,4,1,810,0,23264.166666666668,Spring,0
2019,4,2,766,0,23264.166666666668,Spring,0
2019,4,3,819,0,23264.166666666668,Spring,0
2019,4,4,721,0,23264.166666666668,Spring,0
2019,4,5,875,0,23264.166666666668,Spring,0
2019,4,6,1196,0,23264.166666666668,Spring,0
2019,4,7,734,0,23264.166666666668,Spring,0
2019,4,8,1152,0,23264.166666666668,Spring,0
2019,4,9,1188,0,23264.166666666668,Spring,0
2019,4,10,1168,0,23264.166666666668,Spring,0
2019,4,11,1169,0,23264.166666666668,Spring,0
2019,4,12,1201,0,23264.166666666668,Spring,0
2019,4,13,1630,0,23264.166666666668,Spring,0
2019,4,14,1112,0,23264.166666666668,Spring,1
2019,4,15,1632,0,23264.166666666668,Spring,1
2019,4,16,1592,0,23264.166666666668,Spring,1
2019,4,17,1487,0,23264.166666666668,Spring,1
2019,4,21,1323,0,23264.166666666668,Spring,0
2019,4,22,1533,0,23264.166666666668,Spring,0
2019,4,23,1549,0,23264.166666666668,Spring,0
