Visitantes,Dia,Mes,Ano,Day of the week,COVID,Season,Event,Total Turistas
145,14,12,2018,Friday,0,Autumn,1,15657.58064516129
144,15,12,2018,Saturday,0,Autumn,1,15657.58064516129
131,17,12,2018,Monday,0,Autumn,1,15657.58064516129
355,18,12,2018,Tuesday,0,Autumn,1,15657.58064516129
1267,20,12,2018,Thursday,0,Autumn,1,15657.58064516129
1264,21,12,2018,Friday,0,Winter,1,15657.58064516129
982,24,12,2018,Monday,0,Winter,1,15657.58064516129
1724,27,12,2018,Thursday,0,Winter,1,15657.58064516129
1724,30,12,2018,Sunday,0,Winter,1,15657.58064516129
1182,31,12,2018,Monday,0,Winter,1,15657.58064516129
1533,2,1,2019,Wednesday,0,Winter,1,14818.709677419354
1490,3,1,2019,Thursday,0,Winter,1,14818.709677419354
1244,4,1,2019,Friday,0,Winter,1,14818.709677419354
1518,5,1,2019,Saturday,0,Winter,1,14818.709677419354
813,6,1,2019,Sunday,0,Winter,1,14818.709677419354
809,7,1,2019,Monday,0,Winter,1,14818.709677419354
679,8,1,2019,Tuesday,0,Winter,1,14818.709677419354
693,9,1,2019,Wednesday,0,Winter,1,14818.709677419354
694,10,1,2019,Thursday,0,Winter,1,14818.709677419354
829,11,1,2019,Friday,0,Winter,1,14818.709677419354
1100,12,1,2019,Saturday,0,Winter,1,14818.709677419354
940,13,1,2019,Sunday,0,Winter,1,14818.709677419354
740,14,1,2019,Monday,0,Winter,1,14818.709677419354
563,15,1,2019,Tuesday,0,Winter,1,14818.709677419354
585,16,1,2019,Wednesday,0,Winter,1,14818.709677419354
651,17,1,2019,Thursday,0,Winter,1,14818.709677419354
588,18,1,2019,Friday,0,Winter,1,14818.709677419354
572,19,1,2019,Saturday,0,Winter,1,14818.709677419354
710,20,1,2019,Sunday,0,Winter,1,14818.709677419354
734,21,1,2019,Monday,0,Winter,1,14818.709677419354
589,22,1,2019,Tuesday,0,Winter,1,14818.709677419354
507,23,1,2019,Wednesday,0,Winter,1,14818.709677419354
605,24,1,2019,Thursday,0,Winter,1,14818.709677419354
734,25,1,2019,Friday,0,Winter,1,14818.709677419354
1240,26,1,2019,Saturday,0,Winter,1,14818.709677419354
802,27,1,2019,Sunday,0,Winter,1,14818.709677419354
713,28,1,2019,Monday,0,Winter,1,14818.709677419354
512,29,1,2019,Tuesday,0,Winter,1,14818.709677419354
433,30,1,2019,Wednesday,0,Winter,1,14818.709677419354
516,31,1,2019,Thursday,0,Winter,1,14818.709677419354
685,1,2,2019,Friday,0,Winter,0,16796.41379310345
1033,2,2,2019,Saturday,0,Winter,0,16796.41379310345
746,3,2,2019,Sunday,0,Winter,0,16796.41379310345
721,4,2,2019,Monday,0,Winter,0,16796.41379310345
559,5,2,2019,Tuesday,0,Winter,0,16796.41379310345
610,6,2,2019,Wednesday,0,Winter,0,16796.41379310345
729,7,2,2019,Thursday,0,Winter,0,16796.41379310345
836,8,2,2019,Friday,0,Winter,0,16796.41379310345
1295,9,2,2019,Saturday,0,Winter,0,16796.41379310345
708,10,2,2019,Sunday,0,Winter,0,16796.41379310345
754,11,2,2019,Monday,0,Winter,0,16796.41379310345
736,12,2,2019,Tuesday,0,Winter,0,16796.41379310345
725,13,2,2019,Wednesday,0,Winter,0,16796.41379310345
782,14,2,2019,Thursday,0,Winter,0,16796.41379310345
963,15,2,2019,Friday,0,Winter,0,16796.41379310345
1386,16,2,2019,Saturday,0,Winter,0,16796.41379310345
957,17,2,2019,Sunday,0,Winter,0,16796.41379310345
820,18,2,2019,Monday,0,Winter,0,16796.41379310345
965,19,2,2019,Tuesday,0,Winter,0,16796.41379310345
986,20,2,2019,Wednesday,0,Winter,0,16796.41379310345
884,21,2,2019,Thursday,0,Winter,0,16796.41379310345
1072,22,2,2019,Friday,0,Winter,0,16796.41379310345
1306,23,2,2019,Saturday,0,Winter,0,16796.41379310345
996,24,2,2019,Sunday,0,Winter,0,16796.41379310345
846,25,2,2019,Monday,0,Winter,0,16796.41379310345
831,26,2,2019,Tuesday,0,Winter,0,16796.41379310345
895,27,2,2019,Wednesday,0,Winter,0,16796.41379310345
900,28,2,2019,Thursday,0,Winter,0,16796.41379310345
1157,1,3,2019,Friday,0,Winter,0,20525.322580645163
1647,2,3,2019,Saturday,0,Winter,0,20525.322580645163
1177,3,3,2019,Sunday,0,Winter,0,20525.322580645163
1524,4,3,2019,Monday,0,Winter,0,20525.322580645163
966,5,3,2019,Tuesday,0,Winter,0,20525.322580645163
840,6,3,2019,Wednesday,0,Winter,0,20525.322580645163
675,7,3,2019,Thursday,0,Winter,0,20525.322580645163
1142,8,3,2019,Friday,0,Winter,0,20525.322580645163
1483,9,3,2019,Saturday,0,Winter,0,20525.322580645163
1038,10,3,2019,Sunday,0,Winter,0,20525.322580645163
776,11,3,2019,Monday,0,Winter,0,20525.322580645163
645,12,3,2019,Tuesday,0,Winter,0,20525.322580645163
737,13,3,2019,Wednesday,0,Winter,0,20525.322580645163
686,14,3,2019,Thursday,0,Winter,0,20525.322580645163
787,15,3,2019,Friday,0,Winter,0,20525.322580645163
1151,16,3,2019,Saturday,0,Winter,0,20525.322580645163
786,17,3,2019,Sunday,0,Winter,0,20525.322580645163
758,18,3,2019,Monday,0,Winter,0,20525.322580645163
618,19,3,2019,Tuesday,0,Winter,0,20525.322580645163
546,20,3,2019,Wednesday,0,Spring,0,20525.322580645163
792,21,3,2019,Thursday,0,Spring,0,20525.322580645163
723,22,3,2019,Friday,0,Spring,0,20525.322580645163
1171,23,3,2019,Saturday,0,Spring,0,20525.322580645163
716,24,3,2019,Sunday,0,Spring,0,20525.322580645163
677,25,3,2019,Monday,0,Spring,0,20525.322580645163
