Period,Total Turistas
December 2022,537243
November 2022,616341
October 2022,774690
September 2022,802279
August 2022,826264
July 2022,813335
June 2022,741976
May 2022,727905
April 2022,673247
March 2022,512584
February 2022,384171
January 2022,254351
December 2021,355636
November 2021,473944
October 2021,569725
September 2021,462824
August 2021,480506
July 2021,286379
June 2021,249804
May 2021,201015
April 2021,110644
March 2021,73498
February 2021,56032
January 2021,84971
December 2020,123564
November 2020,102940
October 2020,192469
September 2020,232229
August 2020,272339
July 2020,150764
June 2020,71275
May 2020,31727
April 2020,14899
March 2020,222422
February 2020,507502
January 2020,511041
December 2019,553294
November 2019,619300
October 2019,775999
September 2019,804643
August 2019,832926
July 2019,782999
June 2019,778115
May 2019,788719
April 2019,697925
March 2019,636285
February 2019,487096
January 2019,459380
December 2018,485385
